Category;Type;Name;Cost_Gold;Cost_Wood;Cost_Stone;Duration;Yield_Amount;Yield_Type;Extra_Info;
BasicGathering;wood_manual;Recolección de Madera;0;0;0;0;1;wood;;
BasicGathering;stone_manual;Recolección de Piedra;0;0;0;0;1;stone;;
BasicGathering;berries_manual;Recolección de Frutos;0;0;0;0;1;food;;
BasicGathering;wood_auto;Leñador;0;0;0;1;5;wood;;
BasicGathering;stone_auto;Cantero;0;0;0;1;5;stone;;
BasicGathering;berries_auto;Recolector de Frutos;0;0;0;1;8;food;;
Building;basic_house;Choza;0;5;3;0;1;maxPopulation;;
Building;upgraded_house;Mejorar Choza;0;40;30;0;1;maxPopulationUpgrade;;
Building;lumbermill;Cabaña de Leñador;80;0;40;0;0;;;
Building;quarry;Foso de Piedra;100;40;0;0;0;;;
Building;farm;Granja;0;30;20;0;0;;;
Building;market;Puesto de Mercado;0;60;50;0;0;;;
Building;hire_colonist;Contratar Aldeano;5;0;0;0;1;colonist;;
Building;bonfire;Fogata;0;40;20;0;0;;;
Building;pot_upgrade;Mejorar a Caldero;50;0;30;0;0;;;
Building;kitchen_upgrade;Mejorar a Cocina de Taberna;100;50;0;0;0;;;
Building;townhall;Ayuntamiento T1;0;10;5;0;0;;;
Building;townhall_t2;Mejorar Ayuntamiento T2;0;60;80;0;0;;;
Building;townhall_t3;Mejorar Ayuntamiento T3;200;120;150;0;0;;;
Crop;wheat;Trigo;5;0;0;3;30;food;;
Crop;potato;Patata;10;0;0;5;100;food;;
Crop;carrot;Zanahoria;20;0;0;10;300;food;;
Processing;bonfire_auto;Cocinar Automático Fogata;0;0;0;0.2;1;cookedFood;Consumes:1:food;
Processing;bonfire_manual;Cocinar Manual Fogata;0;0;0;0.2;1;cookedFood;Consumes:1:food;
Processing;pot_auto;Cocinar Automático Caldero;0;0;0;0.1;1;cookedFood;Consumes:1:food;
Processing;pot_manual;Cocinar Manual Caldero;0;0;0;0.1;1;cookedFood;Consumes:1:food;
Processing;kitchen_auto;Cocinar Automático Cocina de Taberna;0;0;0;0.05;1;cookedFood;Consumes:1:food;
Processing;kitchen_manual;Cocinar Manual Cocina de Taberna;0;0;0;0.05;1;cookedFood;Consumes:1:food;
ProductionRate;lumbermill_prod;Producción Cabaña de Leñador;0;0;0;1;5;wood;;
ProductionRate;quarry_prod;Producción Foso de Piedra;0;0;0;1;5;stone;;
Sales;sell_food_manual;Venta Manual Comida;0;0;0;0;3;gold;Consumes:1:food;
Sales;sell_wood_manual;Venta Manual Madera;0;0;0;0;1;gold;Consumes:1:wood;
Sales;sell_stone_manual;Venta Manual Piedra;0;0;0;0;1;gold;Consumes:1:stone;
Sales;market_food;Venta Automática Comida;0;0;0;0.1;3;gold;Consumes:1:food;
Sales;market_wood;Venta Automática Madera;0;0;0;0.1;1;gold;Consumes:1:wood;
Sales;market_stone;Venta Automática Piedra;0;0;0;0.1;1;gold;Consumes:1:stone;
Sales;sell_cooked_manual;Venta Manual Cocinada;0;0;0;0;5;gold;Consumes:1:cookedFood;
Sales;market_cooked;Venta Automática Cocinada;0;0;0;0.1;4;gold;Consumes:1;cookedFood
System;day_duration;Duración del Día;0;0;0;3;0;;;
System;night_duration;Duración de la Noche;0;0;0;3;0;;;
